City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Khatanga,RU,71.9667,102.5,-38.51,98,50,1.52,scattered clouds
315,Tezu,IN,27.9167,96.1667,54.91,65,50,4.52,scattered clouds
316,Namatanai,PG,-3.6667,152.4333,77.77,83,100,4.43,light rain
317,Lebu,CL,-37.6167,-73.65,65.79,74,35,8.72,scattered clouds
318,Ahipara,NZ,-35.1667,173.1667,66.51,92,100,9.98,overcast clouds
319,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.13,61,51,3.33,broken clouds
320,Vilhena,BR,-12.7406,-60.1458,80.62,72,55,2.66,broken clouds
321,Kodiak,US,57.79,-152.4072,36.91,87,100,4.61,overcast clouds
322,Vardo,NO,70.3705,31.1107,44.8,80,75,13.8,broken clouds
323,Nyurba,RU,63.2842,118.3319,-33.02,100,55,3.38,broken clouds
324,Eureka,US,40.8021,-124.1637,47.01,76,8,1.99,clear sky
325,Quijingue,BR,-10.7525,-39.2092,94.23,26,2,6.44,clear sky
326,Arman,RU,59.7,150.1667,4.75,82,90,11.45,overcast clouds
327,Airai,TL,-8.9266,125.4092,60.49,88,72,2.15,moderate rain
328,Iranshahr,IR,27.2025,60.6848,60.64,24,0,16.11,clear sky
329,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.78,100,100,7.81,light snow
330,Jacareacanga,BR,-6.2222,-57.7528,78.57,81,100,0.78,overcast clouds
331,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,85.53,67,47,5.03,scattered clouds
332,Grootfontein,NA,-19.5667,18.1167,76.21,51,95,3.85,overcast clouds
333,Coari,BR,-4.085,-63.1414,83.89,79,85,5.28,light rain
334,Bata,GQ,1.8639,9.7658,82.69,71,48,8.05,scattered clouds
335,Yarada,IN,17.65,83.2667,73.72,88,20,2.3,mist
336,Anuradhapura,LK,8.3565,80.4173,67.84,88,6,5.53,clear sky
337,Udachnyy,RU,66.4167,112.4,-31.85,100,71,2.73,broken clouds
338,Kudahuvadhoo,MV,2.6708,72.8944,81.43,75,4,9.95,clear sky
339,Flinders,AU,-34.5833,150.8552,66.2,79,100,11.01,overcast clouds
340,Santiago Del Estero,AR,-27.7951,-64.2615,103.21,15,8,14.83,clear sky
341,Pochutla,MX,15.7432,-96.4661,87.82,36,0,7.16,clear sky
342,Ngunguru,NZ,-35.6167,174.5,70.16,88,100,11.7,overcast clouds
343,Oranjestad,AW,12.524,-70.027,84.15,65,20,20.71,few clouds
344,Cabedelo,BR,-6.9811,-34.8339,88.47,63,87,12.66,overcast clouds
