City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Sitio Novo Do Tocantins,BR,85.53,scattered clouds,-5.5183,-47.4611,Imperial Hotel
333,Coari,BR,83.89,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
334,Bata,GQ,82.69,scattered clouds,1.8639,9.7658,Hotel Elik Melen
335,Yarada,IN,73.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
336,Anuradhapura,LK,67.84,clear sky,8.3565,80.4173,Nilketha Villa Eco Hotel
338,Kudahuvadhoo,MV,81.43,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
339,Flinders,AU,66.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
341,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
342,Ngunguru,NZ,70.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
343,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
344,Cabedelo,BR,88.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
345,Roald,NO,33.94,broken clouds,62.5833,6.1333,Flem Cabins
346,Nome,US,11.1,clear sky,64.5011,-165.4064,Dredge 7 Inn
347,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
348,Pontian Kecil,MY,80.73,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
349,Hede,CN,34.9,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
350,Guaira,BR,70.56,overcast clouds,-20.3183,-48.3106,Hotel do Lago
351,Lazaro Cardenas,MX,80.11,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
352,Vaitape,PF,80.56,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
353,Aksu,CN,25.57,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
354,Sedona,US,42.55,clear sky,34.8697,-111.761,Amara Resort and Spa
355,Isangel,VU,76.73,overcast clouds,-19.55,169.2667,Tanna Lodge
356,Luena,AO,70.03,broken clouds,-11.7833,19.9167,Hotel Kandamba
357,Xapuri,BR,81.25,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
358,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
361,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
362,Saint-Francois,FR,47.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
363,Kursavka,RU,34.61,light snow,44.4564,42.5093,Dom Otdykha
364,Muisne,EC,80.71,light rain,0.6,-80.0333,Quinta Samay
366,Qiongshan,CN,60.85,overcast clouds,20.0058,110.3542,Sun City Restaurant
367,Tupelo,US,55.69,moderate rain,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
369,Tucupita,VE,88.29,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
370,Andros Town,BS,76.96,broken clouds,24.7,-77.7667,Hanks place
372,Karratha,AU,82.02,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
